departamento,valor_adjudicado,fecha_publicacion,estado_adjudicacion,anio_publicacion
ANTIOQUIA,0,2023-10-04,NO,2023.0
MAGDALENA,0,2025-09-06,NO,2025.0
CUNDINAMARCA,0,2026-01-09,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-29,NO,2026.0
ATLÁNTICO,66670235,2020-11-30,SI,2020.0
CASANARE,0,2025-10-07,NO,2025.0
HUILA,0,2021-10-05,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-22,NO,2022.0
VALLE DEL CAUCA,0,2024-06-13,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,227884136,2019-07-12,SI,2019.0
TOLIMA,0,2025-12-09,NO,2025.0
NO DEFINIDO,0,2025-11-18,NO,2025.0
QUINDÍO,0,2025-05-29,NO,2025.0
RISARALDA,0,2021-02-22,NO,2021.0
ANTIOQUIA,0,2025-12-17,NO,2025.0
MAGDALENA,0,2024-05-28,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-05-03,NO,2024.0
ANTIOQUIA,0,2023-04-24,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,1190129459,2019-09-25,SI,2019.0
META,0,2023-04-12,NO,2023.0
CÓRDOBA,0,2022-11-13,NO,2022.0
META,0,2026-01-20,NO,2026.0
CALDAS,0,2023-12-01,NO,2023.0
VALLE DEL CAUCA,0,2021-07-23,NO,2021.0
CAUCA,0,2024-11-12,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-05-04,NO,2021.0
CUNDINAMARCA,0,2024-09-10,NO,2024.0
ANTIOQUIA,0,2023-01-24,NO,2023.0
NO DEFINIDO,0,2024-06-11,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,197000,2015-09-14,SI,2015.0
VALLE DEL CAUCA,0,2025-05-05,NO,2025.0
ANTIOQUIA,0,2023-03-03,NO,2023.0
ANTIOQUIA,0,2025-01-02,NO,2025.0
NARIÑO,0,2024-10-16,NO,2024.0
NORTE DE SANTANDER,0,2023-02-28,NO,2023.0
ANTIOQUIA,0,2023-05-29,NO,2023.0
NO DEFINIDO,0,2025-05-12,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-05-15,NO,2024.0
NO DEFINIDO,0,2024-08-09,NO,2024.0
SANTANDER,0,2024-08-09,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,4023327,2025-07-31,SI,2025.0
QUINDÍO,0,2026-01-10,NO,2026.0
VALLE DEL CAUCA,20930000,2023-11-27,SI,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-01-10,NO,2022.0
NORTE DE SANTANDER,0,2022-06-07,NO,2022.0
CUNDINAMARCA,0,2023-05-30,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-06-22,NO,2021.0
RISARALDA,0,2024-08-05,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,214941324,2019-03-12,SI,2019.0
BOLÍVAR,0,2024-06-21,NO,2024.0
TOLIMA,28000000,2022-12-12,SI,2022.0
CALDAS,1550000,2022-06-05,SI,2022.0
ANTIOQUIA,0,2023-01-20,NO,2023.0
ATLÁNTICO,0,2024-08-28,NO,2024.0
ATLÁNTICO,0,2020-05-13,NO,2020.0
RISARALDA,0,2025-02-05,NO,2025.0
ANTIOQUIA,0,2026-01-18,NO,2026.0
NO DEFINIDO,0,2022-10-07,NO,2022.0
ANTIOQUIA,0,2023-04-28,NO,2023.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-04-22,NO,2021.0
BOYACÁ,0,2025-01-24,NO,2025.0
BOLÍVAR,0,2023-05-30,NO,2023.0
SANTANDER,2999590000,2022-12-07,SI,2022.0
MAGDALENA,0,2023-05-14,NO,2023.0
VALLE DEL CAUCA,56882199,2022-08-23,SI,2022.0
SANTANDER,0,2024-03-08,NO,2024.0
HUILA,0,2023-06-05,NO,2023.0
CUNDINAMARCA,7920000,2025-07-25,SI,2025.0
DISTRITO CAPITAL DE BOGOTÁ,15828256,2022-06-21,SI,2022.0
RISARALDA,0,2024-09-02,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,293600000,2021-09-22,SI,2021.0
SUCRE,0,2025-04-25,NO,2025.0
CAQUETÁ,0,2023-08-02,NO,2023.0
NARIÑO,1129716,2022-12-29,SI,2022.0
NORTE DE SANTANDER,0,2020-02-03,NO,2020.0
HUILA,0,2024-08-28,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-28,NO,2026.0
ANTIOQUIA,0,2025-01-27,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-02-02,NO,2021.0
VALLE DEL CAUCA,0,2021-07-22,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-10,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-01-26,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-11-16,NO,2022.0
CUNDINAMARCA,0,2024-12-06,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,40000000,2019-07-04,SI,2019.0
VALLE DEL CAUCA,0,2025-08-26,NO,2025.0
BOYACÁ,0,2024-09-28,NO,2024.0
